mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,override_action,reason_code,human_note,review_status
leap_to_ninth,NINTH,LEAP,Buildings/Services,Municipal solid waste non renewable,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,16_04_municipal_solid_waste_nonrenewable,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Municipal solid waste renewable,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,16_03_municipal_solid_waste_renewable,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Natural gas,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,08_01_natural_gas,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Other biomass,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,15_05_other_biomass,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Other bituminous coal,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,01_x_thermal_coal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Other recovered gases,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,02_coal_products,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Patent fuel,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,02_coal_products,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Solar nonspecified,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,12_solar_unallocated,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Solar nonspecified,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,12_x_other_solar,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Sub bituminous coal,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,01_x_thermal_coal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Anthracite,NINTH,16_01_03_ai_training,01_x_thermal_coal,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Anthracite,NINTH,16_01_04_traditional_data_centres,01_x_thermal_coal,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Aviation gasoline,NINTH,16_01_03_ai_training,07_02_aviation_gasoline,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Aviation gasoline,NINTH,16_01_04_traditional_data_centres,07_02_aviation_gasoline,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,BKB and PB,NINTH,16_01_03_ai_training,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,BKB and PB,NINTH,16_01_04_traditional_data_centres,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Biodiesel,NINTH,16_01_03_ai_training,16_06_biodiesel,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Biodiesel,NINTH,16_01_04_traditional_data_centres,16_06_biodiesel,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Biogas,NINTH,16_01_03_ai_training,16_01_biogas,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Biogas,NINTH,16_01_04_traditional_data_centres,16_01_biogas,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Biogasoline,NINTH,16_01_03_ai_training,16_05_biogasoline,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
