comparison_scope,component_esto_flow,component_esto_product,current_component_signature,compiled_component_signature,membership_status
esto_extended_leap,03 Exports,07.14 Bitumen,03 Exports::07.14 Bitumen,03 Exports::07.14 Bitumen,unchanged
esto_extended_leap,03 Exports,07.15 Paraffin waxes,03 Exports::07.15 Paraffin waxes,03 Exports::07.15 Paraffin waxes,unchanged
esto_extended_leap,03 Exports,07.16 Petroleum coke,03 Exports::07.16 Petroleum coke,03 Exports::07.16 Petroleum coke,unchanged
esto_extended_leap,03 Exports,07.17 Other products,03 Exports::07.17 Other products,03 Exports::07.17 Other products,unchanged
esto_extended_leap,03 Exports,07.99 PetProd nonspecified,03 Exports::07.99 PetProd nonspecified,03 Exports::07.99 PetProd nonspecified,unchanged
esto_extended_leap,03 Exports,08.01 Natural gas,03 Exports::08.01 Natural gas,03 Exports::08.01 Natural gas,unchanged
esto_extended_leap,03 Exports,08.02 LNG,03 Exports::08.02 LNG,03 Exports::08.02 LNG,unchanged
esto_extended_leap,03 Exports,08.03 Gas works gas,03 Exports::08.03 Gas works gas,03 Exports::08.03 Gas works gas,unchanged
esto_extended_leap,03 Exports,08.99 Gas nonspecified,03 Exports::08.99 Gas nonspecified,03 Exports::08.99 Gas nonspecified,unchanged
esto_extended_leap,03 Exports,09 Nuclear,03 Exports::09 Nuclear,03 Exports::09 Nuclear,unchanged
esto_extended_leap,03 Exports,10 Hydro,03 Exports::10 Hydro,03 Exports::10 Hydro,unchanged
esto_extended_leap,03 Exports,11 Geothermal,03 Exports::11 Geothermal,03 Exports::11 Geothermal,unchanged
esto_extended_leap,03 Exports,12.01 of which: Photovoltaics,03 Exports::12.01 of which: Photovoltaics,03 Exports::12.01 of which: Photovoltaics,unchanged
esto_extended_leap,03 Exports,12.99 Solar nonspecified,03 Exports::12.99 Solar nonspecified,03 Exports::12.99 Solar nonspecified,unchanged
esto_extended_leap,03 Exports,"13 Tide, wave, ocean","03 Exports::13 Tide, wave, ocean","03 Exports::13 Tide, wave, ocean",unchanged
esto_extended_leap,03 Exports,14 Wind,03 Exports::14 Wind,03 Exports::14 Wind,unchanged
esto_extended_leap,03 Exports,15.01 Fuelwood & woodwaste,03 Exports::15.01 Fuelwood & woodwaste,03 Exports::15.01 Fuelwood & woodwaste,unchanged
esto_extended_leap,03 Exports,15.02 Bagasse,03 Exports::15.02 Bagasse,03 Exports::15.02 Bagasse,unchanged
esto_extended_leap,03 Exports,15.03 Charcoal,03 Exports::15.03 Charcoal,03 Exports::15.03 Charcoal,unchanged
esto_extended_leap,03 Exports,15.04 Black liquor,03 Exports::15.04 Black liquor,03 Exports::15.04 Black liquor,unchanged
esto_extended_leap,03 Exports,15.05 Other biomass,03 Exports::15.05 Other biomass,03 Exports::15.05 Other biomass,unchanged
esto_extended_leap,03 Exports,16.01 Biogas,03 Exports::16.01 Biogas,03 Exports::16.01 Biogas,unchanged
esto_extended_leap,03 Exports,16.02 Industrial waste,03 Exports::16.02 Industrial waste,03 Exports::16.02 Industrial waste,unchanged
esto_extended_leap,03 Exports,16.03 Municipal solid waste (renewable),03 Exports::16.03 Municipal solid waste (renewable),03 Exports::16.03 Municipal solid waste (renewable),unchanged
esto_extended_leap,03 Exports,16.04 Municipal solid waste (non-renewable),03 Exports::16.04 Municipal solid waste (non-renewable),03 Exports::16.04 Municipal solid waste (non-renewable),unchanged
esto_extended_leap,03 Exports,16.05 Biogasoline,03 Exports::16.05 Biogasoline,03 Exports::16.05 Biogasoline,unchanged
esto_extended_leap,03 Exports,16.06 Biodiesel,03 Exports::16.06 Biodiesel,03 Exports::16.06 Biodiesel,unchanged
esto_extended_leap,03 Exports,16.07 Bio jet kerosene,03 Exports::16.07 Bio jet kerosene,03 Exports::16.07 Bio jet kerosene,unchanged
esto_extended_leap,03 Exports,16.08 Other liquid biofuels,03 Exports::16.08 Other liquid biofuels,03 Exports::16.08 Other liquid biofuels,unchanged
esto_extended_leap,03 Exports,16.09 Other sources,03 Exports::16.09 Other sources,03 Exports::16.09 Other sources,unchanged
esto_extended_leap,03 Exports,16.10 Ammonia,03 Exports::16.10 Ammonia,03 Exports::16.10 Ammonia,unchanged
esto_extended_leap,03 Exports,16.11 E-fuel,03 Exports::16.11 E-fuel,03 Exports::16.11 E-fuel,unchanged
